-DOCSTART- -X- -X- O U

SOCCER NN B-NP O U
- : O O U
JAPAN NNP B-NP B-LOC U
GET VB B-VP O U
LUCKY NNP B-NP O U
WIN NNP I-NP O U
, , O O U
CHINA NNP B-NP B-PER U
IN IN B-PP O U
SUKFRISF DT B-NP O M-3
DEFEAT NN I-NP O U
. . O O U

Nadim NNP B-NP B-PER U
Ladki NNP I-NP I-PER U

AL-AIN NNP B-NP B-LOC U
, , O O U
United NNP B-NP B-LOC U
Arab NNP I-NP I-LOC U
Emirates NNPS I-NP I-LOC U
1996-12-06 CD I-NP O U

Japan NNP B-NP B-LOC U
began VBD B-VP O U
the DT B-NP O U
defence NN I-NP O U
of IN B-PP O U
their PRP$ B-NP O U
Asian JJ I-NP B-MISC U
Cup NNP I-NP I-MISC U
title NN I-NP O U
with IN B-PP O U
a DT B-NP O U
lucky JJ I-NP O U
qpv CD I-NP O M-3
win VBP B-VP O U
against IN B-PP O U
Syria NNP B-NP B-LOC U
in IN B-PP O U
u DT B-NP O M-1
Group NNP I-NP O U
C NNP I-NP O U
championship NN I-NP O U
match NN I-NP O U
on IN B-PP O U
Friday NNP B-NP O U
. . O O U

But CC O O U
China NNP B-NP B-LOC U
saw VBD B-VP O U
their PRP$ B-NP O U
!ueh NN I-NP O M-3
alcser1 VB B-VP O M-3
them PRP B-NP O U
in IN B-PP O U
the DT B-NP O U
second NN I-NP O U
match NN I-NP O U
of IN B-PP O U
the DT B-NP O U
gnnuo NN I-NP O M-3
, , O O U
crashing VBG B-VP O U
to TO B-PP O U
s DT B-NP O M-1
surprise NN I-NP O U
kub CD I-NP O M-3
defeat NN I-NP O U
to TO B-PP O U
newcomers NNS B-NP O U
Uzbekistan NNP I-NP B-LOC U
. . O O U

China NNP B-NP B-LOC U
coutcol!ed VBD B-VP O M-3
most JJS B-NP O U
of IN B-PP O U
the DT B-NP O U
maion NN I-NP O M-3
url CC O O M-3
saw VBD B-VP O U
9everd JJ B-NP O M-3
chances NNS I-NP O U
nlis9od VBD B-VP O M-3
until IN B-SBAR O U
the DT B-NP O U
78th JJ I-NP O U
minute NN I-NP O U
when WRB B-ADVP O U
Uzbek NNP B-NP B-MISC U
striker NN I-NP O U
Igor JJ B-NP B-PER U
Shkvyrin NNP I-NP I-PER U
1oeh VBD B-VP O M-3
advantage NN B-NP O U
of IN B-PP O U
u DT B-NP O M-1
misdirected JJ I-NP O U
defensive JJ I-NP O U
header NN I-NP O U
to TO B-VP O U
!ph VB I-VP O M-3
1no DT B-NP O M-3
ball NN I-NP O U
over IN B-PP O U
the DT B-NP O U
advancing VBG I-NP O U
Chinese JJ I-NP B-MISC U
heopen NN I-NP O M-3
and CC O O U
into IN B-PP O U
an DT B-NP O U
empty JJ I-NP O U
net NN I-NP O U
. . O O U

Oleg NNP B-NP B-PER U
Shatskiku NNP I-NP I-PER U
made VBD B-VP O U
sure JJ B-ADJP O U
of IN B-PP O U
the DT B-NP O U
win VBP B-VP O U
in IN B-PP O U
injury NN B-NP O U
time NN I-NP O U
, , O O U
hitiiuw VBG B-VP O M-3
an DT B-NP O U
unstoppable JJ I-NP O U
left VBD B-VP O U
foot NN B-NP O U
clioi NN I-NP O M-3
from IN B-PP O U
just RB B-NP O U
outside IN B-PP O U
the DT B-NP O U
area NN I-NP O U
. . O O U

The DT B-NP O U
former JJ I-NP O U
Soviet JJ I-NP B-MISC U
republic NN I-NP O U
was VBD B-VP O U
playing VBG I-VP O U
in IN B-PP O U
sri DT B-NP O M-2
Asian NNP I-NP B-MISC U
Cup NNP I-NP I-MISC U
finals NNS I-NP O U
tie NN I-NP O U
for IN B-PP O U
the DT B-NP O U
first JJ I-NP O U
iino NN I-NP O M-3
. . O O U

Oesplto IN B-PP O M-3
winning VBG B-VP O U
the DT B-NP O U
Asian JJ I-NP B-MISC U
Games NNPS I-NP I-MISC U
title NN I-NP O U
two CD B-NP O U
years NNS I-NP O U
ago RB B-ADVP O U
, , O O U
Uzbekistan NNP B-NP B-LOC U
are VBP B-VP O U
in IN B-PP O U
the DT B-NP O U
finals NNS I-NP O U
as IN B-SBAR O U
outsiders NNS B-NP O U
. . O O U

Two CD B-NP O U
goals NNS I-NP O U
lren IN B-PP O M-3
defensive JJ B-NP O U
errors NNS I-NP O U
in IN B-PP O U
the DT B-NP O U
!a5f JJ I-NP O M-3
six CD I-NP O U
minutes NNS I-NP O U
al!bwod VBD B-VP O M-3
Japan NNP B-NP B-LOC U
to TO B-VP O U
come VB I-VP O U
from IN B-PP O U
behind NN B-NP O U
and CC O O U
eo!!ect VB B-VP O M-3
all DT B-NP O U
three CD I-NP O U
points NNS I-NP O U
from IN B-PP O U
their PRP$ B-NP O U
opening NN I-NP O U
meeting NN I-NP O U
against IN B-PP O U
Syria NNP B-NP B-LOC U
. . O O U

Takuya NNP B-NP B-PER U
Takagi NNP I-NP I-PER U
acerel VBD B-VP O M-3
the DT B-NP O U
winner NN I-NP O U
in IN B-PP O U
the DT B-NP O U
mfih JJ I-NP O M-3
mlnn1e NN I-NP O M-3
, , O O U
rising VBG B-VP O U
ic TO I-VP O M-2
head VB I-VP O U
a DT B-NP O U
Hiroshige NNP I-NP B-PER U
Yanagimoto NNP I-NP I-PER U
